_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
3182281,324530506,23173287,10,2023-10-31T17:59:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Business District,2,HARRASSMENT,2709(a) Harassment. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,201,6,6,-79.99688178462712,40.43480407292362
3182282,324531317,23173735,10,2023-11-01T14:05:00,"300 Block Brownsville Rd Pittsburgh, PA 15210",N,Knoxville,3,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 607.03 Discharging Firearm or Airgun,3001,3,5,-79.98836277083815,40.41429746206476
3182283,323674977,23166484,10,2023-10-20T01:55:00,"400 Block Avery St Pittsburgh, PA 15212",Y,East Allegheny,1,RECKLESSLY ENDANGER ANOTH PER,"2705 Recklessly Endangering Another Person. / 3925 Receiving Stolen Property. / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",2304,1,1,-80.0013156302337,40.45281498398088
3182284,323787562,23167931,6,2023-10-22T15:14:00,Zone 3,Y,,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 3304 Criminal Mischief. / 3127 Indecent Exposure. / 5901 Open Lewdness. / 5505 Public Drunkenness / 5503 Disorderly Conduct.,,,,,
3182285,323795510,23168018,99,2023-10-22T19:35:00,"200 Block Federal St Pittsburgh, PA 15212",N,Brighton Heights,1,MENTAL 201/302,9498 302 (Mental),2701,1,6,-80.00396354178193,40.448421310220375
3182286,323806335,23168099,0,2023-10-23T00:15:00,"S 10th St & Bradish St Pittsburgh, PA 15203",Y,South Side Flats,3,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,1702,3,3,-79.9885235097841,40.42714702312737
3182287,323887876,23168636,0,2023-10-23T20:08:00,"5200 Block Centre Ave Pittsburgh, PA 15224",N,Shadyside,4,99,9999 9999 - (Misc. Incident): ,709,8,2,-79.94092260913176,40.45452323368171
3182288,323368354,23164246,6,2023-10-16T06:55:00,"70 Block E Carson St Pittsburgh, PA 15210",N,South Shore,3,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1921,3,5,-80.00186267430188,40.4311080582987
3182289,323470956,23164861,14,2023-10-17T08:00:00,"7600 Block Susquehanna St Pittsburgh, PA 15221",N,Homewood South,5,CRIM MISCHIEF,3304 Criminal Mischief.,1304,9,2,-79.89217441328918,40.451143795645905
3182290,323479586,23164919,6,2023-10-17T08:00:00,"Freeland St & Walter St Pittsburgh, PA 15210",N,Allentown,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1803,3,5,-79.99471121346217,40.41913733536637
3182291,323479595,23164902,99,2023-10-17T11:13:00,"600 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,AIDED CASE,9497 Aided Case,2609,1,1,-79.99944739210989,40.47680089455954
3182292,323568377,23165536,6,2023-10-18T10:00:00,"200 Block Shady Ave Pittsburgh, PA 15206",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,708,5,3,-79.92063686162334,40.430036065319804
3182293,323740569,23166775,18,2023-10-20T13:00:00,"Loraine St & Hemlock St Pittsburgh, PA 15212",N,Central North Side,1,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(31) Marijuana: Possession Small Amount / 13(a)(16) Possession of Controlled Substance / 13(a)(33) Paraphernalia - Delivery or Intent to Deliver,2206,1,1,-80.00589666835006,40.457543870893126
3182294,323827794,23168243,6,2023-10-23T08:00:00,"1400 Block Fitch Way Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,3206,,,,
3182295,323914733,23168816,6,2023-10-24T07:20:00,"200 Block Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,405,,,,
3182296,323917659,23168829,6,2023-10-24T07:45:00,"200 Block Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,405,,,,
3182297,323892794,23168704,26,2023-10-23T23:51:00,"Ross St & Forbes Ave Pittsburgh, PA 15219",Y,Central Business District,2,RETALIATION FOR PAST OFF ACTION,4703 Operation of Vehicle without Official Certif. of Inspection / 3743 Accidents Involving Damage to Attended Veh. or Property / 1786 Required Financial Responsibility.,201,6,6,-79.99605913113346,40.438235567371514
3182298,324037829,23169534,99,2023-10-25T11:47:00,"600 Block Lorenz Ave Pittsburgh, PA 15220",N,Elliott,6,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2020,2,5,-80.03850261741465,40.44561499762119
3182299,324063493,23169890,10,2023-10-25T23:00:00,"20 Block S 10th St Pittsburgh, PA 15203",N,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 3304 Criminal Mischief. / 9498 302 (Mental)",1702,3,3,-79.98894419478745,40.42992787045563
3182300,-3530573633,23170196,10,2023-10-26T12:00:00,"400 Block Brownsville Rd Pittsburgh, PA 15210",N,Mt. Oliver Boro,3,SIMPLE ASSAULT,2701 Simple Assault.,4810,3,5,-79.98912885787564,40.413252627565754
3182301,324116090,23170164,99,2023-10-26T11:19:00,"300 Block 3rd Ave Pittsburgh, PA 15222",N,Central Business District,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),201,6,6,-80.00161356345536,40.438866132202165
3182302,324126217,23170340,17,2023-10-26T15:37:00,Zone 4,Y,,4,INDECENT EXPOSURE,3127 Indecent Exposure. / 5901 Open Lewdness. / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 3736 Reckless Driving,,,,,
3182303,324127902,23170340,17,2023-10-26T15:37:00,Zone 4,Y,,4,INDECENT EXPOSURE,3127 Indecent Exposure. / 5901 Open Lewdness. / 5503(a)(3) DISORDERLY CONDUCT - OBSCENE LANG/GEST / 3736 Reckless Driving,,,,,
3182304,324132329,23170391,6,2023-10-26T16:45:00,"2500 Block Allequippa St Pittsburgh, PA 15213",N,West Oakland,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,402,6,3,-79.96771373707432,40.44112611443261
3182305,324132812,23170457,27,2023-10-26T18:35:00,"Wilkins Ave & Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill North,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1403,8,3,-79.91777971828022,40.44433462737671
3182306,324137558,23170542,0,2023-10-26T22:11:00,"3400 Block E Milwaukee St Pittsburgh, PA 15219",N,Upper Hill,2,99,8106 Shots Fired,506,6,3,-79.96129600101746,40.45415239923668
3182307,324138243,23170554,99,2023-10-26T22:43:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,AIDED CASE,9497 Aided Case,103,6,6,-79.99459104985328,40.435334670473395
3182308,324189203,23170800,99,2023-10-27T11:28:00,"Fort Pitt Blvd Pittsburgh, PA 15222",N,Central Business District,2,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),201,6,6,-80.00773044344909,40.43927530527724
3182309,324018960,23169486,6,2023-10-24T03:20:00,"2000 Block Plainview Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1917,4,5,-80.01693209071246,40.40300103729039
3182310,324020714,23169468,27,2023-10-25T10:30:00,"2800 Block Penn Ave Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.97522516855234,40.45685224474889
3182311,324172559,23170721,6,2023-10-27T09:00:00,"7100 Block Meade St Pittsburgh, PA 15208",N,Point Breeze North,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1405,,,,
3182312,-3713010497,23170823,27,2023-10-27T12:12:00,"5000 Block 2nd Ave Pittsburgh, PA 15207",N,Hazelwood,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1515,5,3,-79.94368635339228,40.408550252190246
3182313,324282919,23172370,99,2023-10-30T00:11:00,"Sandusky St N & E North Ave Pittsburgh, PA 15212",Y,Central North Side,1,AIDED CASE,9497 Aided Case,2206,1,1,-80.00456842711857,40.45585086146511
3182314,324283031,23172362,99,2023-10-29T23:40:00,"Smithfield St Brg Pittsburgh, PA 15222",N,Central Business District,2,MENTAL 201/302,9498 302 (Mental),201,,,,
3182315,324286360,23172392,14,2023-10-30T00:45:00,"300 Block Suncrest St Pittsburgh, PA 15210",N,Knoxville,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 901 Criminal Attempt,3001,3,5,-79.99322594236644,40.41056014142879
3182316,324287292,23172412,6,2023-10-30T00:45:00,"300 Block Suncrest St Pittsburgh, PA 15210",N,Knoxville,3,THEFT FROM AUTO,3934 Theft from Vehicle,3001,3,5,-79.99322594236644,40.41056014142879
3182317,323460042,23164804,0,2023-10-17T07:23:00,"Brownsville Rd & E Agnew Ave Pittsburgh, PA 15210",N,Carrick,3,99,3742 Accidents Involving Death or Personal Injury,2901,4,3,-79.98674553210837,40.39510945193359
3182318,323486631,23164903,99,2023-10-17T11:36:00,"200 Block Elwyn Ave Pittsburgh, PA 15234",N,Overbrook,3,AIDED CASE,9497 Aided Case,3207,,,,
3182319,323521594,23165302,0,2023-10-18T02:29:00,"5th Ave & S Aiken Ave Pittsburgh, PA 15232",Y,Shadyside,4,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment / 5503(a)(2) DISORDERLY CONDUCT - UNREASONABLE NOISE / 3714 Careless Driving / 3736 Reckless Driving,703,8,3,-79.93420852091003,40.44840764071853
3182320,323409038,23164370,6,2023-10-16T12:30:00,"2500 Block Banksville Ave Pittsburgh, PA 15216",N,Banksville,6,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft. / 903 Criminal Conspiracy.,2023,,,,
3182321,323858406,23168276,6,2023-10-23T04:30:00,"Bingham St & 6Th St Pittsburgh, PA 15205",N,South Side Flats,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1702,3,3,-79.99363461732788,40.42935854960827
3182322,323869132,23168434,0,2023-10-23T00:01:00,"2600 Block Tunnel Blvd Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): ,1609,,,,
3182323,323871642,23168458,6,2023-10-19T00:01:00,"4500 Block Centre Ave Pittsburgh, PA 15213",N,North Oakland,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,507,8,3,-79.95304404664091,40.45139848911435
3182324,323873582,23168414,6,2023-10-23T14:45:00,"40 Block S 19th St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1702,3,3,-79.97914545206417,40.430605548537926
3182325,323874567,23168481,99,2023-10-23T16:00:00,"1400 Block Mifflin Rd Pittsburgh, PA 15207",N,Lincoln Place,4,DOG BITE,9492 Dog Bite,3102,5,3,-79.91265517395243,40.36962718380307
3182326,323894072,23168716,14,2023-10-24T00:35:00,"200 Block N Craig St Pittsburgh, PA 15213",N,North Oakland,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 3503 Criminal Trespass,507,8,3,-79.95063281251777,40.449971280105636
3182327,324532781,23173791,10,2023-10-27T19:30:00,"1200 Block Chislett St Pittsburgh, PA 15206",Y,Morningside,5,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",1014,7,2,-79.92818825562415,40.47953984066514
3182328,324533095,23173836,27,2023-10-31T23:05:00,"Saw Mill Run Blvd & Parkfield St Pittsburgh, PA 15210",N,Overbrook,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3204,,,,
3182329,324536085,23173820,27,2023-10-30T12:30:00,"100 Block Bakery Square Blvd Pittsburgh, PA 15205",N,Lincoln-Lemington-Belmar,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1201,9,2,-79.91538909932632,40.456123401954606
3182330,324536269,23173840,99,2023-11-01T17:15:00,"2700 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,FOUND PROPERTY,9489 Found Property,1414,5,3,-79.91690148923836,40.42600201725089
3182331,324540047,23173787,99,2023-11-01T16:00:00,"200 Block Lothrop St Pittsburgh, PA 15213",Y,West Oakland,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,402,8,3,-79.96092869752826,40.442247023078565
3182332,324549879,23173970,27,2023-11-01T21:00:00,"S 25th St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1609,3,3,-79.96980931293,40.42784721481657
3182333,324553276,23173909,0,2023-11-01T19:02:00,"3800 Block 2nd Ave Pittsburgh, PA 15207",Y,South Oakland,4,AGRICULTURAL VANDALISM,3309 Driving on Roadways Laned for Traffic. / 6106 Firearms not to be Carried without a License. / 3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 4703 Operation of Vehicle without Official Certif. of Inspection / 4303 General Lighting Requirements. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid / 3736 Reckless Driving / 3703 Driving Upon Sidewalk. / 4706 Prohib. on Expend. for Emission Insp Prog.. / 3802(a)(1) DUI - General Impairment / 3714 Careless Driving,409,,,,
3182334,324582789,23174204,14,2023-11-01T16:00:00,"1500 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill North,4,CRIM MISCHIEF (GRAFFITI),"3304(a)(4) CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti, Aerosol Spray Paint, Broad Tip Marker, or Similar)",1403,8,3,-79.91754331729838,40.44206648248047
3182335,324587381,23174227,6,2023-11-02T11:20:00,"1600 Block Waterfront Pl Pittsburgh, PA 15222",N,Strip District,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,203,,,,
3182336,324591261,23174166,11,2023-11-02T09:11:00,"5600 Block Baum Blvd Pittsburgh, PA 15206",N,Friendship,5,CREDIT CARDS,4106 Access Device Fraud,807,,,,
3182337,323334332,23163920,0,2023-10-15T13:16:00,"Beechwood Blvd & Reynolds St Pittsburgh, PA 15206",N,Point Breeze,4,99,9999 9999 - (Misc. Incident): ,1404,8,3,-79.9151711023555,40.45300333958086
3182338,324149729,23054137,99,2023-10-27T04:00:00,"900 Block Woodlow St Pittsburgh, PA 15220",Y,Crafton Heights,6,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2814,,,,
3182339,324279554,23172346,6,2023-10-29T22:49:00,"1600 Block Fallowfield Ave Pittsburgh, PA 15216",N,Beechview,6,THEFT,3921 Theft by Unlawful Taking or Disposition.,1920,4,5,-80.0239689958174,40.41048730245141
3182340,324281024,23172357,14,2023-10-29T23:47:00,"3000 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,CRIM MISCHIEF,3304 Criminal Mischief.,1918,4,5,-80.02853294341092,40.39455201970872
3182341,324283623,23172192,27,2023-10-29T17:56:00,"Bausman St & Saw Mill Run Blvd Pittsburgh, PA 15226",N,Bon Air,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving,1806,4,5,-80.00607064470294,40.41107707940415
3182342,324302968,23172447,18,2023-10-30T06:00:00,"7400 Block Tioga St Pittsburgh, PA 15208",Y,Homewood South,5,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,1303,9,2,-79.89474536678411,40.4531251863429
3182343,324329573,23172577,10,2023-10-30T11:52:00,"300 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(30)* Delivery of Controlled Substance,201,6,6,-79.99988451131611,40.43824823859988
3182344,324340608,23172623,0,2023-10-30T13:19:00,"6800 Block Mc Pherson Blvd Pittsburgh, PA 15208",N,Point Breeze North,4,99,9994 PFA Service,1405,9,2,-79.90833513853711,40.4546578651435
3182345,324348842,23172652,14,2023-10-30T07:00:00,"50 Block Greenbush St Pittsburgh, PA 15211",N,Mount Washington,3,CRIM MISCHIEF,3304 Criminal Mischief.,1914,2,5,-80.0082256676869,40.42766196846956
3182346,323324362,23163788,4,2023-10-15T06:10:00,"500 Block Haverhill St Pittsburgh, PA 15221",N,East Hills,5,SIMPLE ASSAULT,2707.1 Discharge of a Firearm into Occupied Structure / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another / 8106 Shots Fired,1306,,,-79.88047685978874,40.44954501794145
3182347,323748867,23167358,99,2023-10-21T15:29:00,"600 Block William Penn Pl Pittsburgh, PA 15219",N,Central Business District,2,AIDED CASE,9497 Aided Case,201,6,6,-79.9967621399402,40.44114128100822
3182348,323750906,23167400,6,2023-10-21T16:25:00,"7600 Block Penn Ave Pittsburgh, PA 15221",N,Point Breeze North,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1405,9,3,-79.89513557674505,40.447122874194974
3182349,324296083,23172440,10,2023-10-30T05:29:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,RECKLESSLY ENDANGER ANOTH PER,2705 Recklessly Endangering Another Person. / 3743 Accidents Involving Damage to Attended Veh. or Property / 3744 Duty to Give Information and Render Aid,305,6,3,-79.97998240539275,40.44358891030736
3182350,-3646541430,23172539,6,2023-10-30T05:12:00,"400 Block Belonda St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1914,2,5,-80.0126606197163,40.429241512421946
3182351,324355587,23172666,6,2023-10-30T16:40:00,"200 Block 4th Ave Pittsburgh, PA 15222",Y,Central Business District,2,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,201,,,-79.88534154462992,40.38846890032874
3182352,324360379,23172677,99,2023-10-30T16:11:00,"1400 Block Benton Ave Pittsburgh, PA 15212",N,Brighton Heights,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2701,1,1,-80.0370203138271,40.48435193508315
3182353,323876434,23168542,14,2023-10-23T14:00:00,"Parkhurst St & Sandusky St Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF,3304 Criminal Mischief.,2206,1,1,-80.00491142885075,40.45702490445406
3182354,323874304,23168487,6,2023-10-23T16:00:00,"9900 Block Eleanor St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1608,,,,
3182355,323874426,23168456,6,2023-10-23T15:41:00,"5900 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,,,,
3182356,323877308,23168567,26,2023-10-23T10:30:00,"400 Block Kathleen St Pittsburgh, PA 15211",N,Mount Washington,3,CRIMINAL TRESPASS,3503 Criminal Trespass,1807,3,5,-80.00104842904803,40.4254873362423
3182357,323877753,23168585,6,2023-10-23T02:08:00,"5800 Block Elmer St Pittsburgh, PA 15232",N,Shadyside,4,THEFT FROM AUTO,3934 Theft from Vehicle,705,8,2,-79.92958268168947,40.454115492507434
3182358,323878829,23168597,6,2023-10-23T18:45:00,"5900 Block Centre Ave Pittsburgh, PA 15206",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,705,,,,
3182359,323879132,23168551,6,2023-10-20T10:00:00,"200 Block Ella St Pittsburgh, PA 15224",N,Bloomfield,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,903,7,2,-79.95058196208669,40.46460092158463
3182360,323879677,23168618,6,2023-10-22T00:01:00,"Marland St & Grimes Ave Pittsburgh, PA 15210",N,Knoxville,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,3001,3,5,-79.99287032625328,40.4119335396652
3182361,323880640,23168549,3,2023-10-23T17:47:00,"2000 Block Wharton St Pittsburgh, PA 15203",Y,South Side Flats,3,ROBBERY,3701 Robbery. / 2706 Terroristic Threats. / 2701 Simple Assault.,1702,3,3,-79.97643264287119,40.43034081399975
3182362,323883778,23168660,6,2023-10-23T19:25:00,"400 Block Forbes Ave Pittsburgh, PA 15219",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,8,3,-79.9525636026632,40.44289648145832
3182363,323917169,23168812,99,2023-10-24T07:49:00,"700 Block Berkshire Ave Pittsburgh, PA 15226",N,Brookline,6,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1918,4,5,-80.02239000225632,40.393987649284895
3182364,-3530563583,23168830,6,2023-10-24T07:30:00,"300 Block Republic St Pittsburgh, PA 15211",N,Duquesne Heights,3,THEFT FROM AUTO,3934 Theft from Vehicle,1911,2,5,-80.02656426925799,40.43881550580277
3182365,323660062,23166316,5,2023-10-19T18:29:00,"500 Block Chautauqua St Pittsburgh, PA 15214",Y,Perry South,1,BURGLARY,"3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another",2614,6,1,-80.01521874444094,40.46520491578207
3182366,-3530563563,23167153,27,2023-10-21T02:22:00,"400 Block Rochelle St Pittsburgh, PA 15210",N,Knoxville,3,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,3001,3,5,-79.99518817929476,40.41475426646678
3182367,323738098,23167150,99,2023-10-21T07:03:00,"3700 Block Orpwood St Pittsburgh, PA 15213",N,South Oakland,4,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),409,3,3,-79.95317123581022,40.42979919101323
3182368,323763623,23167568,4,2023-10-21T22:27:00,"1300 Block Goettmann St Pittsburgh, PA 15212",Y,Troy Hill,1,AGG-ASSAULT,2702 Aggravated Assault. / 2706 Terroristic Threats. / 2709(a) Harassment. / 5104 Resisting Arrest or Other Law Enforcement. / 13(a)(31) Marijuana: Possession Small Amount / 5505 Public Drunkenness / 5503(a)(4) DISORDERLY CONDUCT - HAZARDOUS/PHYS. OFF,2406,1,1,-79.98744676589148,40.4586553896295
3182369,323973830,23169144,0,2023-10-24T16:00:00,"7200 Block Susquehanna St Pittsburgh, PA 15208",N,Homewood South,5,99,9999 9999 - (Misc. Incident): ,1303,,,,
3182370,324595581,23174267,14,2023-11-02T12:15:00,"1400 Block Westmoreland St Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,CRIM MISCHIEF,3304 Criminal Mischief.,1202,9,2,-79.89441736198593,40.46808246212377
3182371,324595866,23174274,6,2023-11-02T12:00:00,"2400 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT FROM AUTO,3934 Theft from Vehicle,1609,3,3,-79.97086068651069,40.42788269881993
3182372,324603810,23174319,99,2023-11-02T14:24:00,"1500 Block Brighton Rd Pittsburgh, PA 15212",Y,California-Kirkbride,1,AIDED CASE,9497 Aided Case,2507,6,1,-80.01656850562077,40.45687440924445
3182373,324605498,23174207,6,2023-11-02T10:30:00,"400 Block N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,9,2,-79.92217494469345,40.46516578481274
3182374,324611200,23143398,10,2023-11-02T16:50:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Central Lawrenceville,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 3304 Criminal Mischief.,201,6,6,-79.99688178462712,40.43480407292362
3182375,324612911,23174328,99,2023-11-02T14:46:00,"300 Block Meredith St Pittsburgh, PA 15210",N,Carrick,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2902,4,3,-79.98299448070195,40.397769775792355
3182376,324614018,23172443,29,2023-10-30T05:39:00,"800 Block N Lang Ave Pittsburgh, PA 15208",N,Homewood South,5,RUNAWAYS - JUVENILE,029 Missing Juvenile,1303,9,2,-79.89887584415702,40.45700286801745
3182377,324616372,23174427,10,2023-11-02T18:05:00,"4500 Block Browns Hill Rd Pittsburgh, PA 15217",Y,Hazelwood,4,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1515,5,3,-79.92593904344548,40.41760695776521
3182378,323504985,23165055,27,2023-10-17T16:05:00,"Liberty Ave & Edmond St Pittsburgh, PA 15224",N,Bloomfield,5,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 1785 Proof of Financial Responsibility Following Accident.,802,7,2,-79.94806923760972,40.461135430722514
3182379,323656885,23132609,10,2023-10-19T16:30:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Bluff,6,TERRORISTIC THREATS,2706 Terroristic Threats.,1920,6,6,-79.99318468129471,40.43507182089466
3182380,323657536,23162589,10,2023-10-19T17:00:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Strip District,2,SIMPLE ASSAULT,2701 Simple Assault.,203,6,6,-79.99318468129471,40.43507182089466
3182381,323686149,23163360,18,2023-10-15T10:30:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,North Oakland,2,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 13(a)(31) Marijuana: Possession Small Amount,201,6,6,-79.99688178462712,40.43480407292362
3182382,324241887,23171586,18,2023-10-28T19:00:00,"Mc Kinley St & Grogan Ave Pittsburgh, PA 15210",Y,Knoxville,3,STOLEN PROPERTY - OTHER,13(a)(32) Paraphernalia - Use or Possession / 13(a)(16) Possession of Controlled Substance,3001,3,5,-79.99372526725274,40.40917722165776
3182383,-3518603458,23172701,6,2023-10-21T16:45:00,"Dawson St & Atwood St Pittsburgh, PA 15213",N,Central Oakland,4,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,406,3,3,-79.95247616439269,40.436960864308254
3182384,324370838,23172861,0,2023-10-30T23:15:00,"1800 Block Davis Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9994 PFA Service,2701,1,1,-80.0418455028157,40.47989913355437
3182385,324427167,23173122,99,2023-10-31T12:19:00,"1500 Block Reedsdale St Pittsburgh, PA 15233",Y,Chateau,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,2108,6,1,-80.02753315880543,40.449910195343605
3182386,324447638,23173254,29,2023-10-31T17:08:00,"900 Block Woodlow St Pittsburgh, PA 15205",N,Crafton Heights,6,RUNAWAYS - JUVENILE,029 Missing Juvenile,2814,2,5,-80.05235068795939,40.44581914329684
3182387,324450425,23173288,27,2023-10-31T18:05:00,"Baum Blvd & N Craig St Pittsburgh, PA 15213",N,North Oakland,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3746 Immediate Notice of Accident to Police Department,507,6,3,-79.95333726290204,40.454001660633956
